FamilyMembers,HouseType,Occupation,IncomeLevel,WorkFromHome,Season,Temperature,Humidity,ACCount,ACHours,FanCount,LightCount,LEDPercentage,Cooler,Geyser,Refrigerator,WashingMachine,LaptopHours,TVHours,PreviousMonthUnits,MonthlyUnits,ElectricityBill,CarbonEmission,EstimatedBaseLoad
3,1BHK,Homemaker,High,Partial,Winter,8.1,54.1,1,0.0,3,7,60.0,1,0,1,1,0.0,2.9,116.1,146.7,560.14,120.29,131.15
7,3BHK,Retired,High,Partial,Summer,38.2,66.1,1,9.5,8,16,59.9,1,1,1,1,1.1,9.0,767.9,828.1,5938.99,679.06,833.46
2,2BHK,Homemaker,Medium,No,Monsoon,30.3,84.0,0,0.0,3,14,27.8,0,1,1,1,1.3,5.1,209.4,185.8,736.22,152.38,190.99
3,3BHK,Employed,High,Yes,Spring,23.0,53.0,2,1.9,6,14,48.4,1,1,1,1,8.1,2.5,498.0,411.4,2396.71,337.33,429.09
7,3BHK,Self-Employed,Medium,No,Monsoon,26.0,83.2,1,3.0,7,15,44.9,1,1,1,1,3.5,3.2,488.7,431.7,2569.23,353.97,453.27
7,1BHK,Employed,Medium,Partial,Winter,22.0,50.7,0,0.0,5,9,35.9,1,1,1,1,4.8,5.5,228.4,197.5,788.64,161.93,197.81
4,4BHK,Employed,Medium,No,Summer,36.9,66.3,1,9.1,7,16,38.6,1,1,1,1,0.5,2.3,816.8,729.5,5100.95,598.21,752.15
2,2BHK,Retired,High,No,Summer,37.6,54.0,1,9.1,3,9,43.5,1,1,1,1,0.0,6.6,694.2,641.1,4349.18,525.69,659.08
4,3BHK,Retired,Low,Yes,Monsoon,33.2,81.1,1,4.8,6,13,24.6,0,0,1,1,3.8,4.5,394.1,557.9,3642.14,457.48,489.44
8,1BHK,Homemaker,High,No,Summer,38.7,57.1,1,9.4,6,11,50.7,0,0,1,1,0.5,4.0,823.7,776.3,5498.28,636.54,720.69
4,1BHK,Student,Medium,Yes,Winter,19.5,53.8,1,0.0,6,9,39.5,1,0,1,1,6.8,4.0,156.7,161.1,624.84,132.08,182.39
7,3BHK,Homemaker,Medium,No,Winter,13.9,47.1,2,0.0,8,17,37.0,1,0,1,1,0.0,3.9,236.8,246.1,1099.57,201.79,227.45
5,2BHK,Homemaker,Medium,No,Summer,38.7,60.5,0,0.0,6,15,37.3,0,1,1,1,0.9,5.4,256.4,296.1,1424.94,242.84,276.73
2,1BHK,Self-Employed,High,No,Monsoon,29.9,77.8,1,3.9,3,6,61.8,1,1,1,1,5.2,1.3,433.3,361.5,1973.12,296.47,371.69
5,1BHK,Employed,Medium,No,Winter,17.0,51.9,1,0.0,5,11,21.5,1,1,1,1,5.3,4.6,169.0,184.6,730.76,151.38,193.97
4,4BHK,Retired,High,Yes,Summer,38.5,53.0,2,9.9,10,17,52.2,0,1,1,1,3.0,3.4,1860.6,1439.3,11134.32,1180.25,1296.75
5,3BHK,Homemaker,High,No,Winter,12.5,54.7,2,0.0,8,15,50.8,0,1,1,1,1.1,2.2,201.0,205.5,835.45,168.47,198.83
5,3BHK,Homemaker,Medium,No,Monsoon,33.8,78.0,0,0.0,7,13,44.7,0,1,1,1,0.7,3.5,265.8,280.7,1324.72,230.2,269.43
4,3BHK,Employed,Medium,No,Winter,9.3,59.6,1,0.0,8,12,40.5,1,1,1,1,0.5,3.0,167.5,176.2,693.04,144.51,190.81
4,1BHK,Student,High,No,Winter,19.1,52.7,1,0.0,3,10,72.1,1,0,1,1,6.7,2.1,154.1,151.4,581.17,124.13,152.82
5,2BHK,Employed,Medium,No,Summer,36.3,57.4,1,8.6,6,14,39.2,0,1,1,1,5.8,5.2,761.7,619.8,4168.22,508.23,690.35
3,2BHK,Employed,Low,Yes,Summer,38.8,57.1,1,9.4,5,11,39.7,0,1,1,1,9.5,1.4,734.3,691.8,4780.34,567.28,685.55
4,4BHK,Self-Employed,High,Yes,Summer,39.9,61.8,2,10.4,8,16,56.6,0,0,1,1,6.8,3.9,1274.0,1461.0,11318.29,1198.0,1314.21
3,2BHK,Homemaker,Very High,Yes,Monsoon,32.8,86.6,2,5.1,5,9,72.4,1,1,1,1,1.3,4.4,834.7,607.9,4066.85,498.45,730.9
5,3BHK,Employed,High,No,Spring,22.7,53.5,2,1.9,7,17,62.3,1,1,1,1,4.2,4.2,483.2,423.3,2498.06,347.11,461.09
2,1BHK,Retired,Medium,No,Monsoon,30.2,81.3,0,0.0,2,8,38.0,1,1,1,1,2.4,4.4,168.9,190.3,756.3,156.04,182.48
6,1BHK,Employed,Low,No,Spring,24.8,48.2,0,0.0,4,8,19.4,0,1,1,1,3.4,5.8,234.2,220.1,930.9,180.51,216.16
6,3BHK,Student,High,No,Summer,32.3,56.9,1,7.4,7,16,68.6,0,1,1,1,5.6,4.3,788.5,696.5,4820.22,571.13,642.8
2,2BHK,Employed,Low,No,Monsoon,27.3,79.5,0,0.0,4,7,19.5,0,1,1,1,3.9,3.5,174.3,191.0,759.64,156.65,183.32
6,2BHK,Homemaker,Very High,No,Summer,39.6,48.5,2,10.2,5,10,83.1,0,1,1,1,0.8,6.0,1164.5,1207.3,9161.79,989.96,1218.65
5,1BHK,Employed,Medium,Partial,Monsoon,34.0,78.2,1,4.9,4,10,24.9,0,1,1,1,5.7,3.8,449.3,514.6,3274.44,422.0,456.13
5,1BHK,Retired,Very High,Partial,Winter,12.3,48.3,1,0.0,3,10,65.1,1,1,1,1,3.0,5.5,451.8,150.0,575.04,123.01,167.45
3,2BHK,Employed,Medium,No,Spring,29.3,46.4,0,0.0,7,12,36.8,0,0,1,1,1.4,2.4,219.9,240.0,1059.9,196.79,243.88
5,4BHK,Employed,High,Yes,Summer,40.0,61.6,1,9.9,9,17,51.9,0,0,1,1,7.9,2.9,666.5,874.8,6336.15,717.37,820.23
2,2BHK,Self-Employed,Medium,Yes,Summer,38.1,55.0,0,0.0,4,8,28.8,0,1,1,1,7.2,1.8,186.4,179.2,706.6,146.98,197.93
2,3BHK,Employed,High,Yes,Winter,12.7,50.2,0,0.0,6,13,62.4,1,0,1,1,10.8,3.2,223.1,172.2,674.97,141.22,183.98
3,2BHK,Homemaker,High,Partial,Monsoon,28.3,83.0,2,3.8,5,12,55.9,0,1,1,1,1.4,3.3,710.3,591.1,3924.65,484.73,573.59
5,3BHK,Employed,Low,No,Summer,36.8,57.5,0,0.0,6,18,22.1,0,0,1,1,3.5,2.0,243.0,254.8,1156.02,208.91,281.02
5,3BHK,Retired,Medium,Yes,Summer,34.6,57.2,1,8.1,6,17,38.4,0,0,1,1,0.4,5.5,728.0,671.3,4605.98,550.46,663.49
5,2BHK,Self-Employed,Medium,No,Monsoon,30.6,80.7,1,4.1,7,14,27.2,0,0,1,1,4.7,3.9,371.9,453.6,2755.74,371.97,476.62
5,3BHK,Employed,High,No,Monsoon,29.7,76.8,2,4.0,7,13,71.3,0,1,1,1,2.4,1.6,1399.9,617.3,4146.68,506.15,634.28
2,2BHK,Employed,High,No,Spring,28.5,40.0,0,0.0,3,8,56.7,0,0,1,1,3.9,1.6,177.9,166.3,648.32,136.36,158.54
4,3BHK,Employed,Medium,No,Summer,38.3,66.0,1,9.6,7,13,46.5,1,1,1,1,2.8,0.5,356.5,683.0,4705.24,560.03,767.3
3,2BHK,Homemaker,Medium,No,Spring,29.0,51.1,1,2.3,5,10,7.8,0,1,1,1,0.6,3.1,481.0,329.9,1704.56,270.56,321.27
3,4BHK,Homemaker,Medium,Yes,Summer,37.1,62.2,1,9.0,8,17,46.0,1,1,1,1,2.8,3.9,1024.5,725.3,5064.89,594.73,772.22
4,3BHK,Employed,Medium,No,Winter,17.3,58.9,0,0.0,6,15,40.5,1,1,1,1,3.9,3.4,184.9,193.6,771.21,158.75,195.97
3,3BHK,Self-Employed,Low,Yes,Monsoon,32.9,82.1,1,4.7,5,17,13.9,0,0,1,1,9.9,3.4,589.6,494.8,3105.92,405.75,485.38
4,4BHK,Employed,High,Partial,Monsoon,29.1,77.9,1,3.7,8,15,43.4,0,1,1,1,7.3,2.8,727.9,484.8,3020.88,397.54,465.19
7,4BHK,Employed,Medium,No,Summer,39.3,54.4,3,10.7,8,19,53.6,0,0,1,1,3.4,4.1,2463.9,2021.4,16081.74,1657.53,1878.37
3,1BHK,Employed,Low,Yes,Monsoon,31.1,86.9,0,0.0,4,6,20.9,0,0,1,1,11.0,2.3,222.1,205.3,834.19,168.31,198.11
6,4BHK,Self-Employed,Medium,Partial,Summer,37.7,61.8,2,9.7,9,19,56.0,0,1,1,1,7.1,4.3,1694.6,1352.1,10392.76,1108.71,1285.46
6,3BHK,Self-Employed,High,Yes,Winter,11.5,56.2,2,0.0,6,16,71.5,0,1,1,1,9.8,4.8,214.5,220.3,931.93,180.64,216.37
5,2BHK,Student,Low,No,Monsoon,30.7,85.4,0,0.0,5,13,23.7,0,1,1,1,2.4,2.8,282.3,226.1,969.36,185.37,234.94
4,3BHK,Student,Medium,Yes,Spring,30.5,52.0,0,0.0,6,12,30.1,0,0,1,1,9.4,5.0,239.7,262.9,1208.68,215.56,262.57
4,3BHK,Employed,Low,Yes,Monsoon,31.4,79.8,0,0.0,6,17,24.5,0,1,1,1,9.5,2.6,321.4,273.1,1275.34,223.97,274.78
2,1BHK,Homemaker,Low,Partial,Summer,40.5,51.0,0,0.0,2,8,8.9,0,0,1,1,0.7,1.5,157.9,180.5,712.2,148.0,149.04
3,2BHK,Employed,Medium,No,Winter,15.2,51.2,0,0.0,4,10,26.7,1,1,1,1,4.5,3.2,142.2,171.1,670.02,140.31,163.79
5,3BHK,Employed,Low,Yes,Winter,13.2,49.2,1,0.0,6,14,33.3,0,0,1,1,10.3,4.1,175.6,200.6,804.03,164.51,210.2
5,4BHK,Employed,Medium,Yes,Spring,26.1,49.4,3,2.0,9,20,45.3,0,0,1,1,5.8,2.7,645.0,636.1,4306.52,521.57,607.34
6,1BHK,Homemaker,High,Yes,Monsoon,29.3,77.3,1,3.7,4,7,52.8,0,1,1,1,1.7,7.1,611.8,461.2,2819.83,378.15,387.02
6,3BHK,Retired,Medium,No,Summer,35.6,56.6,1,8.4,7,16,27.7,0,1,1,1,0.0,6.7,477.8,775.5,5491.99,635.93,708.83
4,3BHK,Student,Medium,Yes,Winter,21.2,51.9,1,0.0,8,12,8.3,1,1,1,1,6.3,4.8,210.8,242.1,1073.77,198.54,216.49
4,1BHK,Self-Employed,High,Yes,Spring,24.9,49.4,1,1.8,5,7,55.2,1,1,1,1,7.0,4.6,291.5,302.2,1468.99,247.83,306.05
7,4BHK,Employed,Low,Yes,Summer,34.5,75.0,2,9.2,10,20,17.4,0,1,1,1,6.7,5.0,1399.7,1178.7,8918.85,966.52,1275.07
2,1BHK,Employed,Very High,No,Summer,36.1,67.5,1,8.9,3,8,73.3,1,1,1,1,2.3,2.2,535.1,626.4,4224.1,513.62,627.22
3,4BHK,Self-Employed,Very High,No,Winter,18.8,45.6,2,0.0,9,17,72.1,0,1,1,1,4.9,2.1,188.4,191.0,759.67,156.65,198.95
7,3BHK,Self-Employed,Medium,Partial,Monsoon,29.5,82.0,0,0.0,7,17,35.7,0,0,1,1,4.6,2.3,267.7,303.6,1480.84,248.98,292.39
3,1BHK,Employed,High,No,Winter,14.5,57.2,1,0.0,2,7,63.8,0,1,1,1,4.3,1.7,135.7,114.9,417.25,94.25,126.61
6,2BHK,Employed,Medium,Partial,Monsoon,31.8,79.8,0,0.0,7,12,30.8,1,0,1,1,7.1,4.6,278.4,339.5,1785.48,278.36,318.8
2,4BHK,Homemaker,Low,No,Spring,26.9,50.2,0,0.0,8,14,30.1,0,0,1,1,0.6,3.1,251.8,220.4,932.63,180.73,260.24
4,3BHK,Employed,High,Partial,Summer,33.1,74.3,1,8.2,8,13,57.6,0,1,1,1,9.0,2.5,723.3,635.8,4303.99,521.33,683.41
5,2BHK,Homemaker,Medium,No,Winter,11.6,42.5,2,0.0,6,11,40.9,1,0,1,1,0.0,4.9,744.6,176.7,695.33,144.93,183.68
7,3BHK,Employed,Low,Partial,Winter,18.0,54.1,2,0.0,8,16,16.3,0,1,1,1,2.6,2.8,237.5,221.1,937.17,181.3,232.45
8,4BHK,Employed,Low,Partial,Winter,13.1,60.9,1,0.0,10,20,18.6,0,0,1,1,7.0,5.3,263.1,274.4,1283.59,225.01,282.71
2,3BHK,Homemaker,Low,No,Winter,18.3,50.9,0,0.0,6,14,24.8,0,1,1,1,2.4,3.9,151.7,163.3,634.65,133.87,178.61
5,4BHK,Employed,Medium,Yes,Winter,9.1,48.0,2,0.0,8,17,37.7,0,1,1,1,8.0,2.7,211.9,225.6,966.2,184.97,225.42
3,2BHK,Student,Medium,Yes,Monsoon,30.2,78.1,0,0.0,5,12,35.4,1,1,1,1,5.5,2.6,288.7,231.1,1002.22,189.51,250.8
1,3BHK,Homemaker,Low,Yes,Summer,37.7,60.5,2,9.6,7,9,28.6,0,0,1,0,1.1,3.6,1185.6,1140.8,8596.8,935.46,1157.03
2,2BHK,Employed,Medium,Partial,Spring,25.4,47.0,1,1.8,4,10,42.3,0,1,1,1,7.0,1.1,305.9,284.8,1351.23,233.54,273.35
4,3BHK,Homemaker,High,Yes,Winter,19.0,48.1,2,0.0,6,17,58.3,0,0,1,1,2.1,6.2,165.2,164.0,638.08,134.5,197.69
1,3BHK,Employed,Low,No,Spring,24.2,48.3,1,1.8,5,10,27.3,0,1,1,0,3.8,3.3,342.3,280.3,1321.92,229.84,276.58
4,2BHK,Student,Medium,No,Summer,40.6,61.8,1,10.1,4,9,40.6,0,1,1,1,7.2,2.1,790.2,670.5,4598.89,549.78,698.72
4,1BHK,Retired,High,Partial,Spring,23.0,46.3,1,1.8,4,7,75.5,0,1,1,1,1.9,2.6,379.2,273.0,1274.52,223.86,265.78
5,3BHK,Self-Employed,Very High,Yes,Monsoon,30.9,87.8,2,4.6,7,16,81.6,0,1,1,1,12.4,6.7,902.9,828.5,5942.27,679.37,739.0
5,4BHK,Employed,High,Yes,Spring,26.0,47.1,3,2.0,9,16,69.2,0,1,1,1,9.3,3.4,810.5,645.6,4387.78,529.41,597.69
3,4BHK,Employed,High,Yes,Winter,10.3,44.4,2,0.0,10,15,53.3,0,0,1,1,5.5,2.0,800.4,199.1,795.83,163.24,204.4
6,1BHK,Employed,High,No,Monsoon,34.0,84.4,1,5.0,4,7,61.2,0,1,1,1,1.5,2.6,551.3,405.6,2347.2,332.55,436.65
6,2BHK,Student,Medium,No,Winter,14.7,50.4,2,0.0,5,11,52.0,0,0,1,1,4.4,6.7,196.1,183.2,724.28,150.2,192.22
3,3BHK,Self-Employed,Medium,No,Summer,35.0,61.7,1,8.3,6,12,33.6,0,0,1,1,4.2,4.1,691.8,747.5,5253.35,612.91,648.8
7,2BHK,Employed,High,Partial,Monsoon,29.8,85.8,1,4.0,6,12,55.5,1,0,1,1,9.5,4.7,489.5,534.2,3440.34,438.01,491.84
8,3BHK,Employed,Medium,Yes,Winter,17.4,48.8,1,0.0,8,15,46.4,0,0,1,1,11.3,4.8,301.2,272.9,1274.16,223.82,245.52
1,3BHK,Self-Employed,Low,No,Winter,12.1,61.1,0,0.0,5,12,27.4,0,0,1,1,1.0,5.7,135.7,171.9,673.55,140.96,162.18
4,3BHK,Homemaker,Low,No,Monsoon,29.2,77.2,1,3.7,7,14,38.7,0,0,1,1,1.0,2.5,413.7,440.4,2643.37,361.12,432.62
5,1BHK,Employed,Low,No,Summer,37.4,57.4,0,0.0,3,11,23.8,0,1,1,1,0.7,2.9,202.8,203.3,821.69,166.74,196.45
2,2BHK,Homemaker,High,Yes,Winter,15.0,53.8,2,0.0,4,10,40.7,1,1,1,1,0.0,1.7,599.8,134.3,504.35,110.13,140.68
3,2BHK,Retired,High,Yes,Monsoon,34.0,80.0,1,5.0,5,11,61.0,1,1,1,1,0.0,5.1,479.4,488.3,3050.24,400.38,492.11
6,2BHK,Self-Employed,Low,Partial,Winter,12.0,50.9,0,0.0,7,11,38.6,0,1,1,1,5.6,6.2,180.9,201.9,812.56,165.58,212.34
4,1BHK,Student,Medium,Yes,Monsoon,28.5,82.0,1,3.6,6,7,28.4,0,0,1,1,3.9,4.9,422.1,419.8,2468.61,344.27,403.24
5,3BHK,Homemaker,Medium,Yes,Winter,13.3,56.4,1,0.0,7,13,36.1,0,0,1,1,1.9,3.2,206.6,188.2,747.11,154.36,192.04
3,3BHK,Self-Employed,Medium,No,Monsoon,28.1,76.2,1,3.4,5,13,49.6,1,1,1,1,7.3,3.0,374.2,394.3,2251.5,323.32,415.58
4,1BHK,Employed,Very High,No,Winter,12.0,49.2,1,0.0,4,8,88.8,1,1,1,1,2.1,3.0,386.9,141.6,537.17,116.11,147.96
6,3BHK,Employed,Low,Yes,Monsoon,32.2,72.3,1,4.3,6,15,25.1,0,0,1,1,8.0,5.9,498.7,523.4,3348.88,429.19,496.9
7,4BHK,Employed,High,Yes,Summer,38.6,61.1,3,10.5,8,18,64.8,1,1,1,1,7.9,4.7,1699.6,2198.6,17588.4,1802.88,1893.38
8,2BHK,Homemaker,Medium,Yes,Winter,8.0,57.3,1,0.0,6,14,27.8,1,0,1,1,1.4,5.5,218.5,224.9,961.84,184.42,220.78
3,2BHK,Retired,Medium,Partial,Winter,19.8,51.0,1,0.0,5,10,36.0,0,0,1,1,1.9,4.8,159.3,186.4,738.66,152.82,163.96
3,3BHK,Employed,Medium,Yes,Summer,37.2,62.3,0,0.0,5,13,43.7,1,1,1,1,7.2,1.5,267.5,251.0,1131.75,205.85,272.09
2,1BHK,Employed,Medium,Yes,Winter,13.7,43.8,0,0.0,2,6,45.6,0,1,1,1,6.8,3.9,135.8,137.2,517.55,112.53,133.94
3,2BHK,Student,Medium,No,Winter,14.9,56.0,0,0.0,5,10,31.9,1,1,1,1,6.0,0.7,164.8,182.5,721.45,149.69,163.02
2,3BHK,Retired,Low,No,Summer,36.2,68.6,0,0.0,6,11,18.5,0,1,1,1,0.9,4.9,299.0,256.9,1169.94,210.67,243.16
4,4BHK,Self-Employed,High,Yes,Spring,29.8,55.1,1,2.5,7,16,64.0,0,1,1,1,7.3,3.7,393.0,405.2,2344.29,332.27,393.65
4,4BHK,Employed,Low,No,Winter,12.1,57.3,0,0.0,10,18,19.7,0,0,1,1,3.9,3.9,176.2,227.3,977.76,186.42,234.47
2,4BHK,Self-Employed,Medium,No,Summer,40.6,65.2,2,10.8,6,15,49.4,0,1,1,1,8.0,5.8,879.2,1289.5,9860.48,1057.36,1311.15
5,1BHK,Employed,High,No,Summer,33.5,55.6,1,7.8,3,9,47.8,0,1,1,1,2.6,2.4,291.1,601.6,4013.43,493.3,557.6
5,3BHK,Self-Employed,Low,No,Summer,38.4,57.5,1,9.3,6,16,15.0,0,1,1,1,7.1,4.0,678.1,829.8,5953.26,680.43,740.31
3,4BHK,Homemaker,Medium,Partial,Monsoon,31.9,75.9,3,4.8,7,16,33.4,0,1,1,1,1.6,2.3,2473.1,1087.2,8141.51,891.53,954.52
2,4BHK,Employed,Medium,No,Winter,18.9,50.4,1,0.0,8,15,40.2,0,1,1,1,5.5,2.6,203.0,171.9,673.52,140.95,192.28
2,3BHK,Student,Low,Yes,Winter,12.6,57.4,0,0.0,6,12,21.2,0,0,1,1,4.7,3.4,183.6,146.4,558.73,120.04,174.52
5,2BHK,Employed,High,Yes,Monsoon,30.8,86.3,1,4.3,7,12,52.2,0,1,1,1,7.8,1.3,428.7,486.9,3038.57,399.25,470.5
2,2BHK,Student,Medium,Yes,Winter,19.9,52.3,0,0.0,3,10,52.5,1,0,1,1,5.2,2.3,138.3,132.7,497.15,108.81,143.8
5,4BHK,Retired,High,No,Monsoon,31.7,76.0,1,4.3,9,19,73.2,1,0,1,1,0.7,5.5,528.6,483.7,3011.82,396.67,553.62
2,3BHK,Employed,Medium,No,Monsoon,33.5,73.8,1,4.7,6,10,32.7,0,1,1,1,2.2,0.5,367.7,406.7,2357.12,333.51,444.29
5,1BHK,Student,Very High,Yes,Summer,34.1,64.2,1,8.1,4,10,88.3,1,1,1,1,8.7,5.3,794.5,620.7,4175.57,508.94,643.9
4,2BHK,Homemaker,Medium,Yes,Winter,16.1,58.6,1,0.0,5,11,43.4,0,1,1,1,1.8,3.7,184.9,159.2,616.54,130.57,169.19
5,1BHK,Retired,High,No,Summer,39.1,56.5,1,9.5,3,8,47.2,0,1,1,1,2.1,6.9,778.4,695.9,4815.5,570.67,657.0
4,2BHK,Employed,Medium,No,Summer,37.9,50.6,0,0.0,4,11,41.8,0,1,1,1,2.8,4.4,683.9,246.6,1103.09,202.24,216.59
4,2BHK,Employed,Medium,No,Monsoon,27.1,84.6,0,0.0,5,11,37.0,0,1,1,1,1.6,3.2,260.1,225.0,962.27,184.47,214.82
3,2BHK,Employed,High,Yes,Summer,39.9,63.2,1,9.9,6,9,56.8,1,1,1,1,7.0,1.2,605.3,756.2,5327.91,620.1,759.35
4,2BHK,Self-Employed,Medium,No,Summer,33.4,50.5,1,7.7,5,10,25.0,1,1,1,1,3.9,3.5,726.8,599.1,3992.16,491.24,631.02
4,3BHK,Employed,Very High,Yes,Spring,25.8,51.6,2,1.9,6,18,76.4,0,1,1,1,9.8,2.6,374.2,429.9,2554.23,352.53,438.42
7,4BHK,Homemaker,High,Yes,Monsoon,28.3,80.7,2,3.7,10,20,46.9,1,1,1,1,1.8,7.3,1047.0,830.0,5955.0,680.6,743.17
6,1BHK,Homemaker,High,Partial,Monsoon,27.0,82.4,1,3.3,5,7,70.6,1,1,1,1,0.6,5.7,433.8,420.7,2475.82,344.96,401.22
5,4BHK,Employed,Low,No,Spring,22.5,52.0,1,1.8,9,20,26.6,0,1,1,1,4.3,2.7,412.4,427.6,2534.62,350.63,411.32
4,2BHK,Employed,Medium,Partial,Summer,37.8,56.1,0,0.0,5,10,38.1,0,1,1,1,5.1,3.7,245.6,273.5,1278.04,224.31,235.15
4,2BHK,Homemaker,Medium,Partial,Winter,13.1,51.4,1,0.0,4,9,44.0,0,0,1,1,1.0,3.4,158.4,178.3,702.55,146.24,151.08
5,3BHK,Homemaker,Medium,Yes,Monsoon,28.9,81.8,1,3.7,7,16,34.7,0,0,1,1,1.8,2.6,380.0,462.2,2828.42,378.98,448.04
5,2BHK,Self-Employed,High,No,Monsoon,30.5,77.6,2,4.3,6,11,50.5,0,1,1,1,5.5,4.2,730.1,776.4,5499.72,636.68,662.71
5,1BHK,Employed,Medium,No,Spring,25.7,49.4,0,0.0,5,11,39.2,1,1,1,1,2.4,5.2,213.4,246.9,1104.88,202.46,233.48
1,3BHK,Homemaker,High,Partial,Monsoon,26.0,81.7,2,3.2,4,10,52.6,0,1,1,0,0.9,3.0,444.7,540.0,3489.95,442.8,469.99
8,3BHK,Self-Employed,Low,Yes,Monsoon,29.4,79.8,0,0.0,7,16,8.7,0,0,1,1,9.0,5.5,254.9,329.6,1701.4,270.25,325.16
4,3BHK,Student,Medium,Yes,Winter,13.8,55.1,0,0.0,6,13,29.1,0,1,1,1,5.8,2.6,263.2,198.7,794.36,162.97,189.48
7,4BHK,Employed,Low,No,Summer,36.1,61.3,1,8.6,10,19,29.2,0,0,1,1,2.9,3.0,429.9,726.2,5072.75,595.49,784.65
2,2BHK,Student,Low,Partial,Monsoon,30.0,89.8,0,0.0,3,8,22.5,0,0,1,1,8.7,1.6,208.4,173.7,681.64,142.43,174.22
4,3BHK,Employed,Medium,Yes,Winter,15.8,56.8,2,0.0,8,15,21.5,1,0,1,1,10.8,2.0,206.9,236.9,1039.62,194.23,220.55
6,4BHK,Homemaker,High,Yes,Summer,33.5,61.6,2,8.3,9,17,44.3,1,1,1,1,1.6,5.3,1275.9,1039.2,7733.54,852.18,1163.6
3,2BHK,Homemaker,High,No,Monsoon,29.2,75.7,1,3.7,5,9,70.7,0,1,1,1,1.3,3.3,368.6,329.7,1702.37,270.35,376.75
5,3BHK,Student,Medium,Yes,Summer,36.9,59.6,1,8.8,8,15,30.1,0,0,1,1,8.4,3.1,315.7,833.5,5984.96,683.49,741.83
3,1BHK,Employed,Medium,Partial,Summer,34.5,65.3,0,0.0,3,11,39.6,1,0,1,1,4.2,2.5,226.8,227.8,980.78,186.81,219.87
6,3BHK,Homemaker,High,Yes,Winter,12.5,50.2,2,0.0,7,14,60.0,1,1,1,1,2.3,4.7,252.3,189.6,753.02,155.44,208.32
5,3BHK,Self-Employed,Very High,Partial,Winter,13.1,51.7,2,0.0,7,15,73.4,0,1,1,1,7.3,4.0,217.0,222.1,943.36,182.09,205.04
2,2BHK,Employed,Medium,Yes,Summer,37.1,63.5,1,9.1,4,7,39.8,0,0,1,1,8.2,3.0,680.4,532.4,3425.02,436.53,635.42
7,3BHK,Self-Employed,High,Partial,Monsoon,29.0,77.6,2,3.9,8,16,46.5,0,1,1,1,7.6,3.0,1333.5,759.0,5351.27,622.36,684.13
6,2BHK,Student,Low,No,Summer,39.3,60.7,1,9.6,6,13,10.9,0,1,1,1,4.9,4.0,797.9,647.4,4403.1,530.89,747.45
4,3BHK,Homemaker,Low,No,Monsoon,33.4,74.1,0,0.0,6,15,12.6,0,0,1,1,0.3,6.6,281.4,265.3,1224.31,217.53,270.63
7,2BHK,Employed,Low,No,Spring,26.3,56.2,1,1.9,6,12,28.3,0,0,1,1,2.3,4.4,353.5,321.0,1628.91,263.26,350.21
2,3BHK,Employed,Medium,No,Summer,40.2,60.0,2,10.4,7,11,41.9,1,0,1,1,1.0,2.3,278.4,1106.0,8300.75,906.9,1298.17
6,2BHK,Employed,Medium,Yes,Spring,30.4,49.3,2,2.7,9,12,31.2,0,1,1,1,10.5,4.2,393.1,638.9,4330.3,523.86,584.37
4,2BHK,Self-Employed,Medium,Partial,Spring,24.8,53.2,0,0.0,4,10,17.7,0,1,1,1,6.9,4.1,224.2,209.8,863.83,172.05,213.67
5,2BHK,Employed,Low,Partial,Winter,19.4,51.2,0,0.0,5,12,15.7,0,1,1,1,5.1,2.6,193.6,172.3,675.53,141.32,187.6
8,1BHK,Employed,Low,No,Monsoon,30.3,81.5,0,0.0,5,11,25.3,0,1,1,1,2.7,4.3,318.5,247.9,1111.14,203.25,249.87
6,1BHK,Employed,Medium,No,Winter,11.3,40.4,0,0.0,4,9,37.1,1,0,1,1,2.6,4.0,438.7,175.7,690.52,144.05,171.65
3,3BHK,Retired,High,Yes,Monsoon,30.2,88.3,2,4.4,5,14,58.1,1,1,1,1,2.1,4.1,1054.4,624.7,4210.09,512.27,672.67
6,3BHK,Student,Medium,Yes,Summer,41.9,61.8,2,11.1,7,14,40.6,1,0,1,1,7.4,2.6,437.5,1337.5,10268.56,1096.73,1418.24
5,2BHK,Student,Medium,Yes,Monsoon,29.6,76.4,1,3.8,5,13,57.7,1,1,1,1,10.9,4.3,707.7,458.7,2798.76,376.12,458.69
4,3BHK,Retired,High,No,Summer,32.4,50.1,2,7.8,6,13,57.5,1,0,1,1,3.5,5.3,1232.4,974.3,7181.71,798.94,1033.08
8,2BHK,Employed,Low,Partial,Spring,26.5,51.0,1,1.9,9,19,26.5,0,1,1,1,6.7,5.7,385.7,477.5,2958.91,391.57,450.24
4,2BHK,Student,Medium,No,Winter,13.7,48.6,0,0.0,4,10,36.8,0,1,1,1,6.5,3.9,228.5,167.4,653.18,137.25,171.01
5,4BHK,Homemaker,Medium,Yes,Spring,27.3,55.4,2,2.1,10,20,38.8,0,0,1,1,2.5,6.2,638.7,553.1,3601.35,453.54,546.11
2,4BHK,Employed,Medium,Yes,Monsoon,34.0,77.1,1,4.9,6,17,39.9,0,1,1,1,10.0,2.0,498.0,526.1,3371.62,431.38,495.6
4,1BHK,Employed,Low,No,Winter,19.0,41.4,0,0.0,4,15,29.4,0,1,1,1,3.4,2.0,173.7,157.0,606.53,128.75,176.24
